task_id,dataset_id,endpoint_original_text,endpoint_family,time_from_treatment_start,clinical_instrument,threshold,endoscopic_instrument,histology_instrument,biomarker_threshold,central_or_local_reading,composite_endpoint,placebo_adjusted,verified_source,harmonization_class,notes
T_GEMINI_MH_W12,GSE73661_VDZ,Mayo endoscopic subscore 0 or 1,MUCOSAL_HEALING,week 12,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2018; repository metadata",EXACTLY_HARMONIZED,13 subjects
T_GEMINI_MH_W52,GSE73661_VDZ,Mayo endoscopic subscore 0 or 1,MUCOSAL_HEALING,week 52,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2018; repository metadata",EXACTLY_HARMONIZED,19 subjects; attrition/maintenance selection
T_EMTAB7845_ER,E-MTAB-7845_VDZ,ENDOSCOPIC_REMISSION,ENDOSCOPIC_REMISSION,week 14 UC / month 6 CD,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Verstockt et al., Clin Gastroenterol Hepatol 2020; repository metadata",BROADLY_COMPARABLE,raw-only; all samples used by the four-gene signature paper
T_GSE234736_RESPONSE,GSE234736_VDZ_TCELLS,INDUCTION_CLINICAL_RESPONSE,INDUCTION_CLINICAL_RESPONSE,study-defined,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Rath et al., Gastroenterology 2024; repository metadata",BROADLY_COMPARABLE,23 pretreatment donors; one unknown; multiple libraries per donor
T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,INDUCTION_CLINICAL_RESPONSE,INDUCTION_CLINICAL_RESPONSE,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"VanDussen et al., Gastroenterology 2020; repository metadata",BROADLY_COMPARABLE,active treatment
T_UNITI2_MH_W8,GSE207022_UNITI2_RECTUM,mucosal healing with SES-CD <3 in reanalysis,MUCOSAL_HEALING,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,UNITI-2 rectal mucosal healing substudy; repository metadata,BROADLY_COMPARABLE,same trial as ileal task; 15 active outcome NA
T_UNITI2_BLOOD_REM,GSE207465_UNITI2_BLOOD,INDUCTION_CLINICAL_REMISSION,INDUCTION_CLINICAL_REMISSION,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,UNITI-2 blood pharmacogenomics; repository metadata,BROADLY_COMPARABLE,same trial; remapped IDs
T_UNIFI_MH_W8,GSE206285_UNIFI,UNIFI mucosal healing,MUCOSAL_HEALING,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,UNIFI mucosal pharmacogenomics; repository metadata,BROADLY_COMPARABLE,six active outcome NA
T_UNIFI_REM_W8,GSE206285_UNIFI,INDUCTION_CLINICAL_REMISSION,INDUCTION_CLINICAL_REMISSION,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,UNIFI mucosal pharmacogenomics; repository metadata,BROADLY_COMPARABLE,active treatment
T_FUTURE_RESPONSE,GSE171770_FUTURE,INDUCTION_CLINICAL_RESPONSE,INDUCTION_CLINICAL_RESPONSE,week 12,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Friedrich et al., olamkicept FUTURE; repository metadata",BROADLY_COMPARABLE,below 15/15 threshold
T_FUTURE_REMISSION,GSE171770_FUTURE,INDUCTION_CLINICAL_REMISSION,INDUCTION_CLINICAL_REMISSION,week 12,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Friedrich et al., olamkicept FUTURE; repository metadata",BROADLY_COMPARABLE,below 15/15 threshold
T_GSE107865_BLOOD,GSE107865_IFX_BLOOD,INDUCTION_CLINICAL_RESPONSE,INDUCTION_CLINICAL_RESPONSE,week 14,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Gaujoux et al., Gut 2019 blood validation; repository metadata",BROADLY_COMPARABLE,blood and small NR arm
T_BIOSTOP_WITHDRAWAL,BIOSTOP_JJAG121,relapse after anti-TNF withdrawal,RELAPSE_AFTER_WITHDRAWAL,2 years,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Rapp et al., J Crohns Colitis 2026; repository metadata",NOT_COMPARABLE,paper baseline analysis subset; no public sample-level data
T_BIOSTOP_CONTINUED,BIOSTOP_JJAG121,flare while anti-TNF continued,FLARE_ON_CONTINUED_THERAPY,2 years,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Rapp et al., J Crohns Colitis 2026; repository metadata",NOT_COMPARABLE,paper post-QC outcome totals; no public sample-level data
